,cisco_uris_AESCBC_21_flatten.txt.csv,cisco_uris_AESGCM_21_flatten.txt.csv,cisco_uris_CRC16_21_flatten.txt.csv,cisco_uris_CRC32_21_flatten.txt.csv,cisco_uris_MMH3_21_flatten.txt.csv,cisco_uris_SHA256_21_flatten.txt.csv,cisco_uris_SIPHASH_21_flatten.txt.csv
1,2.114,2.114,2.114,2.114,2.114,2.114,2.114
2,11.252,11.252,11.252,11.252,11.252,11.252,11.252
3,12.776,12.776,12.76,12.76,12.76,12.76,12.76
4,14.342,14.342,14.16,14.16,14.16,14.16,14.16
5,16.444,16.445,16.106,16.106,16.106,16.106,16.106
6,18.478,18.477,17.479,17.479,17.479,17.479,17.479
7,19.483,19.483,17.48,17.48,17.48,17.48,17.48
8,19.824,19.823,16.606,16.606,16.606,16.606,16.606
9,19.536,19.537,16.711,16.711,16.711,16.711,16.711
10,19.918,19.918,15.311,15.311,15.311,15.311,15.311
11,19.205,19.205,15.176,15.176,15.176,15.176,15.176
12,18.011,18.009,13.941,13.941,13.941,13.941,13.941
13,17.396,17.396,13.503,13.503,13.503,13.503,13.503
14,17.274,17.275,13.226,13.226,13.226,13.226,13.226
15,16.765,16.772,13.235,13.235,13.235,13.235,13.235
16,15.837,15.833,13.691,13.691,13.691,13.691,13.691
17,15.156,15.139,13.093,13.093,13.093,13.093,13.093
18,14.436,14.428,13.222,13.222,13.222,13.222,13.222
19,13.866,13.872,12.332,12.332,12.332,12.332,12.332
20,12.825,12.804,11.247,11.247,11.247,11.247,11.247
21,11.551,11.58,10.092,10.092,10.092,10.092,10.092
